"Shortname","Date_Start_Deficit","Date_Trough","Date_Recovery","Max_Deficit_Raw","Relative_Deficit","Rebound_Intensity","Suppression_Months","Status","R0_mean","Vaccine","Group","Incubation_period"
"Pneumonia",2020-04-01,2022-10-01,2022-11-01,-213705.771933232,0.279365719412144,2.03017952800939,31,"Recovered",NA,"Optional","Respiratory IDs",NA
"Influenza",2020-03-01,2023-07-01,2023-08-01,-1463430.69537175,0.825178955136324,4.03818610163466,41,"Recovered",1.55,"EPI","Respiratory IDs",2
"Chickenpox",2020-02-01,2025-12-01,2025-02-01,-176140.761078267,0.531646569095555,0.277489489525688,60,"Recovered",11,"Optional","Respiratory IDs",15
"Mumps",2020-01-01,2024-08-01,2024-09-01,-3745.37810794006,0.532969487397903,3.6526508933844,56,"Recovered",5.5,"EPI","Respiratory IDs",17
"Scarlet fever",2020-01-01,2025-01-01,2025-02-01,-8693.5799836956,0.752979061768441,7.97967732402848,61,"Recovered",2.5,"Unavaliable","Respiratory IDs",3
"Rubella",2020-01-01,2025-12-01,NA,-2020.62855184469,0.820183931677406,0,71,"Suppressed",6.5,"EPI","Respiratory IDs",17
"Dengue fever",2020-02-01,2022-11-01,2022-12-01,-136125.791770204,0.520828806653862,4.01123798425685,34,"Recovered",5,"Optional","Vector-borne and zoonotic IDs",6
"Scrub Typhus",2020-06-01,2022-03-01,2022-04-01,-1649.43203417845,0.162131326836121,6.71894121076683,22,"Recovered",0,"Unavaliable","Vector-borne and zoonotic IDs",11
"Leptospirosis",2020-03-01,2022-04-01,2022-04-01,-1148.21594938962,0.263097876618642,3.41907444405193,25,"Recovered",0,"Unavaliable","Vector-borne and zoonotic IDs",8
"Melioidosis",2020-04-01,2022-04-01,2020-08-01,-1086.71187975233,0.157386998715913,2.06461317602288,4,"Recovered",0,"Unavaliable","Vector-borne and zoonotic IDs",9
"S. suis",2020-02-01,2020-05-01,2020-05-01,-26.0660434837536,0.182195878553904,4.21262045164963,3,"Recovered",0,"Unavaliable","Vector-borne and zoonotic IDs",2
"HFMD",2020-01-01,2022-06-01,2020-10-01,-45008.9572930257,0.434848324854664,6.69051555724831,9,"Recovered",4,"Optional","Gastrointestinal IDs",4
"Amebiasis",2021-07-01,2022-05-01,2022-06-01,-276.479934279954,0.0840752991672098,4.27758838559867,11,"Recovered",NA,"Unavaliable","Gastrointestinal IDs",2
"Shigellosis",2020-03-01,2022-05-01,2022-06-01,-249.981486597994,0.193486895277608,2.85154236856698,27,"Recovered",3.05,"Unavaliable","Gastrointestinal IDs",21
"Typhoid",2020-01-01,2022-06-01,2022-07-01,-1012.92579875461,0.483975972467514,2.61974444415165,30,"Recovered",3.7,"Optional","Gastrointestinal IDs",10
"HAV",2020-01-01,2023-10-01,2023-11-01,-634.139203615906,0.359868960587593,2.47440872944847,46,"Recovered",2.25,"Optional","Gastrointestinal IDs",29
"Gonorrhoea",2020-01-01,2022-10-01,2022-11-01,-9741.16384132806,0.343081309845054,1.88828699280673,34,"Recovered",2.75,"Unavaliable","Sexually IDs",4
"Syphilis",2020-05-01,2025-12-01,NA,-38963.8163321939,0.253217630155129,0.40512005643596,67,"Suppressed",1.6,"Unavaliable","Sexually IDs",21
"HBV",2020-03-01,2023-02-01,2023-01-01,-4764.10818473154,0.208147748441247,3.04007415615052,34,"Recovered",6.5,"EPI","Sexually IDs",45
"CA",2020-03-01,2023-07-01,2023-05-01,-3838.25573626451,0.232350403525653,2.84453657101213,38,"Recovered",NA,"EPI","Sexually IDs",90
"Genital herpes",2020-02-01,2022-12-01,2023-01-01,-1594.05831647258,0.244260507517835,3.2621111306562,35,"Recovered",2,"Unavaliable","Sexually IDs",4
"Chancroid",2020-03-01,2023-12-01,2023-09-01,-1540.85848708049,0.2446250364635,1.54962548253905,42,"Recovered",NA,"Unavaliable","Sexually IDs",6
"HCV",2020-01-01,2022-04-01,2022-05-01,-146.669525368677,0.13893507565017,16.2242913160414,28,"Recovered",2.5,"Unavaliable","Sexually IDs",100
